2024-06-06 17:04:59.662890: param 1, 4<6
2024-06-06 17:05:00.253724: parameter 1, 6 < 1
2024-06-06 17:05:00.774989: parameter 1, 2 < 6
2024-06-06 17:05:01.292051: param 0, 7<5
2024-06-06 17:05:01.850214: param 0, 3<7
2024-06-06 17:05:02.388678: parameter 0, 7 < 6
2024-06-06 17:05:02.899728: param 1, 4<7
2024-06-06 17:05:03.448944: param 1, 7<6
2024-06-06 17:05:03.993165: parameter 1, 2 < 7
2024-06-06 17:05:04.487978: param 0, 8<5
2024-06-06 17:05:05.050067: param 0, 7<8
2024-06-06 17:05:05.581875: parameter 0, 8 < 6
2024-06-06 17:05:06.081841: param 1, 2<8
2024-06-06 17:05:06.580771: param 1, 8<6
2024-06-06 17:05:07.066939: parameter 1, 7 < 8
2024-06-06 17:05:07.570299: param 0, 9<6
2024-06-06 17:05:08.163885: param 0, 7<9
2024-06-06 17:05:08.664887: parameter 0, 9 < 8
2024-06-06 17:05:09.224550: param 1, 2<9
2024-06-06 17:05:09.734015: param 1, 9<6
2024-06-06 17:05:10.251285: parameter 1, 8 < 9
2024-06-06 17:05:10.742709: param 0, 10<6
2024-06-06 17:05:11.212175: param 0, 7<10
2024-06-06 17:05:11.708439: parameter 0, 10 < 8
2024-06-06 17:05:12.151212: parameter 0, 9 < 10
2024-06-06 17:05:12.566304: param 1, 10<7
2024-06-06 17:05:13.009908: param 1, 5<10
2024-06-06 17:05:13.461879: parameter 1, 10 < 2
2024-06-06 17:05:13.910445: parameter 1, 4 < 10
2024-06-06 17:05:14.320207: param 0, 11<8
2024-06-06 17:05:14.759862: param 0, 7<11
2024-06-06 17:05:15.125096: parameter 0, 11 < 10
2024-06-06 17:05:15.492989: parameter 0, 9 < 11
2024-06-06 17:05:15.875412: param 1, 11<2
2024-06-06 17:05:16.258975: param 1, 5<11
2024-06-06 17:05:16.674112: parameter 1, 11 < 10
2024-06-06 17:05:17.109833: parameter 1, 4 < 11
2024-06-06 17:05:17.495977: param 0, 12<8
2024-06-06 17:05:17.909177: param 0, 9<12
2024-06-06 17:05:18.324838: parameter 0, 12 < 10
2024-06-06 17:05:18.729276: parameter 0, 11 < 12
2024-06-06 17:05:19.158968: param 1, 12<2
2024-06-06 17:05:19.588447: param 1, 4<12
2024-06-06 17:05:20.030539: parameter 1, 12 < 10
2024-06-06 17:05:20.452445: parameter 1, 11 < 12
2024-06-06 17:05:20.926731: param 0, 13<10
2024-06-06 17:05:21.326435: param 0, 9<13
2024-06-06 17:05:21.709274: parameter 0, 13 < 12
2024-06-06 17:05:22.132842: parameter 0, 11 < 13
2024-06-06 17:05:22.511022: param 1, 13<10
2024-06-06 17:05:22.882609: param 1, 4<13
2024-06-06 17:05:23.327926: parameter 1, 13 < 12
2024-06-06 17:05:23.793230: parameter 1, 11 < 13
2024-06-06 17:05:24.258309: param 0, 14<10
2024-06-06 17:05:24.718406: param 0, 9<14
2024-06-06 17:05:25.166326: param 0, 14<13
2024-06-06 17:05:25.562836: parameter 0, 11 < 14
2024-06-06 17:05:26.050224: param 1, 14<10
2024-06-06 17:05:26.450607: param 1, 4<14
2024-06-06 17:05:26.864277: param 1, 14<13
2024-06-06 17:05:27.263445: parameter 1, 11 < 14
2024-06-06 17:05:27.269135: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:05:27.284505: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:57.218718: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:57.234220: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
2024-06-06 17:06:58.120392: Prioritization done. Final prioritized list: [6, 2, 8, 10, 12, 4, 0, 5, 9, 7, 1, 13, 14, 11, 3]
